API,Basin,Cnty_Name,FieldName,AreaName,PoolName,First0fFirstProdthenInjDate,FirstProdDate,FirstInjDate,DOGGR_API,searched_DOGGR_API,frac_confirmed_DOGGR_API,frac_pack_DOGGR_API
04-011-20817,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,5/1/08,5/1/08,,01120817,01120817,,
04-011-20819,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,12/1/08,12/1/08,,01120819,01120819,01120819,
04-011-20820,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,5/1/08,5/1/08,,01120820,01120820,,
04-011-20821,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/09,2/1/09,,01120821,01120821,,
04-011-20823,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/08,6/1/08,,01120823,01120823,,
04-011-20825,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,8/1/08,8/1/08,,01120825,01120825,01120825,
04-011-20829,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,9/1/08,9/1/08,,01120829,01120829,,
04-011-20830,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/08,7/1/08,,01120830,01120830,01120830,
04-011-20831,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/08,7/1/08,,01120831,01120831,,
04-011-20832,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,6/1/08,6/1/08,,01120832,01120832,,
04-011-20833,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,9/1/08,9/1/08,,01120833,01120833,,
04-011-20835,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,10/1/08,10/1/08,,01120835,01120835,,
04-011-20836,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,11/1/08,11/1/08,,01120836,01120836,,
04-011-20837,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/08,9/1/08,,01120837,01120837,,
04-011-20838,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,4/1/09,4/1/09,,01120838,01120838,,
04-011-20839,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,9/1/08,9/1/08,,01120839,01120839,,
04-011-20840,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/08,8/1/08,,01120840,01120840,,
04-011-20841,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,8/1/08,8/1/08,,01120841,01120841,,
04-011-20842,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,10/1/08,10/1/08,,01120842,01120842,01120842,
04-011-20844,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/08,10/1/08,,01120844,01120844,,
04-011-20845,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/08,9/1/08,,01120845,01120845,,
04-011-20846,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,10/1/08,10/1/08,,01120846,01120846,01120846,
04-011-20848,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/08,10/1/08,,01120848,,,
04-011-20852,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,11/1/08,11/1/08,,01120852,01120852,,
04-011-20853,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,12/1/08,12/1/08,,01120853,01120853,,
04-011-20854,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,11/1/08,11/1/08,,01120854,01120854,,
04-011-20857,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/09,2/1/09,,01120857,01120857,,
04-011-20858,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,2/1/09,2/1/09,,01120858,01120858,,
04-011-20864,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,11/1/08,11/1/08,,01120864,,,
04-011-20865,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,1/1/09,1/1/09,,01120865,01120865,,
04-011-20869,Sacramento,Colusa,Williams Gas,Any Area,Forbes,4/1/10,4/1/10,,01120869,01120869,,
04-011-20879,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/09,4/1/09,,01120879,01120879,,
04-011-20880,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,4/1/09,4/1/09,,01120880,01120880,,
04-011-20882,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/09,6/1/09,,01120882,,,
04-011-20883,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,12/1/09,12/1/09,,01120883,01120883,,
04-011-20884,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,9/1/09,9/1/09,,01120884,01120884,,
04-011-20885,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,12/1/09,12/1/09,,01120885,01120885,,
04-011-20887,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,6/1/10,6/1/10,,01120887,01120887,,
04-011-20888,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,4/1/10,4/1/10,,01120888,01120888,,
04-011-20890,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,3/1/10,3/1/10,,01120890,01120890,,
04-011-20891,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,6/1/10,6/1/10,,01120891,01120891,,
04-011-20892,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/10,7/1/10,,01120892,01120892,,
04-011-20893,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,8/1/10,8/1/10,,01120893,01120893,,
04-011-20896,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/10,7/1/10,,01120896,01120896,,
04-011-20897,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/10,10/1/10,,01120897,01120897,,
04-011-20898,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,10/1/10,10/1/10,,01120898,01120898,,
04-011-20900,Sacramento,Colusa,Lone Star Gas,Any Area,Forbes,9/1/10,9/1/10,,01120900,01120900,,
04-011-20901,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,11/1/10,11/1/10,,01120901,01120901,,
04-011-20902,Sacramento,Colusa,Williams Gas,Any Area,Forbes,11/1/10,11/1/10,,01120902,01120902,,
04-011-20903,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,12/1/10,12/1/10,,01120903,01120903,,
04-011-20904,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,12/1/11,12/1/11,,01120904,01120904,,
04-011-20906,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,1/1/11,1/1/11,,01120906,01120906,,
04-011-20907,Sacramento,Colusa,Williams Gas,Any Area,Forbes,4/1/11,4/1/11,,01120907,,,
04-011-20908,Sacramento,Colusa,Williams Gas,Any Area,Forbes,2/1/11,2/1/11,,01120908,01120908,,
04-011-20909,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,4/1/11,4/1/11,,01120909,01120909,,
04-011-20911,Sacramento,Colusa,Williams Gas,Any Area,Forbes,4/1/11,4/1/11,,01120911,01120911,,
04-011-20914,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/11,7/1/11,,01120914,01120914,,
04-011-20915,Sacramento,Colusa,Sycamore Gas,Any Area,No Pool Breakdown,7/1/11,7/1/11,,01120915,01120915,,
04-011-20917,Sacramento,Colusa,Princeton Gas,Main Area,Kione,8/1/11,8/1/11,9/1/11,01120917,01120917,,
04-011-20918,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,4/1/12,01120918,01120918,,
04-011-20919,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,10/1/11,01120919,01120919,,
04-011-20920,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,4/1/12,01120920,01120920,,
04-011-20921,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,10/1/11,01120921,,,
04-011-20923,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,4/1/12,01120923,01120923,,
04-011-20924,Sacramento,Colusa,Princeton Gas,Main Area,Kione,7/1/12,7/1/12,4/1/12,01120924,01120924,,
04-011-20925,Sacramento,Colusa,Princeton Gas,Main Area,Kione,8/1/11,8/1/11,9/1/11,01120925,01120925,,
04-011-20928,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,10/1/11,10/1/11,,01120928,01120928,,
04-011-20929,Sacramento,Colusa,Buckeye Gas,Any Area,Forbes,5/1/12,5/1/12,,01120929,01120929,,
04-011-20930,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,10/1/11,10/1/11,,01120930,01120930,,
04-011-20931,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,2/1/12,2/1/12,,01120931,01120931,,
04-011-20932,Sacramento,Colusa,Any Field,Any Area,No Pool Breakdown,2/1/12,2/1/12,,01120932,,,
04-011-20933,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,11/1/11,11/1/11,,01120933,01120933,,
04-011-20934,Sacramento,Colusa,Williams Gas,Any Area,Forbes,12/1/11,12/1/11,,01120934,,,
04-011-20936,Sacramento,Colusa,"Grimes, West, Gas",Any Area,Forbes,7/1/13,7/1/13,,01120936,01120936,,
04-011-20943,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,6/1/13,6/1/13,,01120943,,,
04-011-20945,Sacramento,Colusa,Arbuckle Gas,Any Area,Forbes,7/1/13,7/1/13,,01120945,,,
04-011-20946,Sacramento,Colusa,Grimes Gas,Any Area,Forbes,7/1/13,7/1/13,,01120946,01120946,,
