time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1974-12-26T10:43:29.500Z,36.5315,-121.1193333,9.488,2.76,md,38,58,0.01982,0.04,nc,nc1022364,2016-12-14T23:00:17.940Z,"Central California",earthquake,0.19,0.37,0.19,7,reviewed,nc,nc
1974-12-26T05:47:45.970Z,36.5013333,-120.654,14.278,3.78,md,18,224,0.1847,0.06,nc,nc1022362,2016-12-14T23:00:11.201Z,"Central California",earthquake,0.58,0.84,0.04,4,reviewed,nc,nc
1974-12-26T05:27:37.850Z,36.5596667,-121.0335,9.35,2.73,md,16,100,0.03243,0.04,nc,nc1022361,2016-12-14T23:00:05.143Z,"Central California",earthquake,0.24,0.51,0.22,6,reviewed,nc,nc
1974-12-26T01:38:56.650Z,35.4091667,-118.5543333,0.19,2.78,ml,11,140,,0.6,ci,ci3317602,2016-01-29T01:23:33.750Z,"21km SSW of Bodfish, CA",earthquake,1.66,6.14,0.163,7,reviewed,ci,ci
1974-12-25T22:22:00.710Z,36.9148333,-121.4695,4.514,3.04,md,20,98,0.03694,0.07,nc,nc1022358,2016-12-14T22:59:52.794Z,"Central California",earthquake,0.27,0.63,0.32,7,reviewed,nc,nc
1974-12-25T09:26:14.720Z,37.1445,-121.1418333,5.697,3.12,md,38,195,0.09369,0.08,nc,nc1022354,2016-12-14T22:59:40.807Z,"Central California",earthquake,0.4,0.89,0.42,12,reviewed,nc,nc
1974-12-25T06:14:57.790Z,40.3765,-124.213,6.184,2.51,md,14,204,0.05946,0.06,nc,nc1022351,2016-12-14T22:59:29.016Z,"Northern California",earthquake,0.83,0.78,0.05,12,reviewed,nc,nc
1974-12-25T04:02:41.130Z,36.9088333,-121.4741667,3.816,2.71,md,22,55,0.03423,0.1,nc,nc1022350,2016-12-14T22:59:25.188Z,"Central California",earthquake,0.23,0.66,0.36,8,reviewed,nc,nc
1974-12-25T04:01:16.490Z,36.928,-121.462,4.456,3.11,md,29,62,0.04324,0.1,nc,nc1022349,2016-12-14T22:59:20.080Z,"Central California",earthquake,0.21,0.63,0.24,9,reviewed,nc,nc
1974-12-24T23:21:41.910Z,38.8025,-122.8046667,4.148,3.21,md,12,116,0.0973,0.02,nc,nc1022347,2016-12-14T22:59:11.217Z,"Northern California",earthquake,0.27,0.88,0.2,5,reviewed,nc,nc
1974-12-24T15:56:10.940Z,35.893,-121.6218333,7.837,2.54,md,34,287,0.1847,0.1,nc,nc1022345,2016-12-14T22:59:03.463Z,"offshore Central California",earthquake,1.96,0.92,0.26,6,reviewed,nc,nc
1974-12-24T03:26:53.640Z,36.9153333,-121.4735,8.294,2.69,md,22,57,0.07928,0.07,nc,nc1022338,2016-12-14T22:58:45.617Z,"Central California",earthquake,0.28,0.87,0.33,10,reviewed,nc,nc
1974-12-23T20:51:41.220Z,33.9656667,-116.3531667,5.49,3.15,ml,12,75,0.2883,0.42,ci,ci3317597,2016-01-29T01:42:45.340Z,"14km E of Desert Hot Springs, CA",earthquake,0.74,2.92,0.127,6,reviewed,ci,ci
1974-12-23T14:44:43.140Z,36.4006667,-120.9788333,4.768,2.5,md,15,73,0.04054,0.05,nc,nc1022334,2016-12-14T22:58:28.539Z,"Central California",earthquake,0.33,0.67,0.32,5,reviewed,nc,nc
1974-12-23T13:21:52.510Z,40.0356667,-123.7331667,16.314,2.62,md,7,313,0.3784,0.03,nc,nc1022333,2016-12-14T22:58:24.483Z,"Northern California",earthquake,2.24,0.69,,1,reviewed,nc,nc
1974-12-23T00:40:36.270Z,36.9113333,-121.4736667,4.606,3.4,md,43,55,0.03423,0.14,nc,nc1022331,2016-12-14T22:58:14.600Z,"Central California",earthquake,0.19,0.51,0.14,9,reviewed,nc,nc
1974-12-22T23:03:56.790Z,36.911,-121.4746667,4.316,3.26,md,28,55,0.03333,0.11,nc,nc1022330,2016-12-14T22:58:07.614Z,"Central California",earthquake,0.23,0.57,0.14,9,reviewed,nc,nc
1974-12-22T15:36:45.800Z,41.011,-123.5446667,26.524,2.63,md,7,285,0.1964,0.07,nc,nc1022328,2016-12-14T22:57:59.558Z,"Northern California",earthquake,3.87,1.95,,1,reviewed,nc,nc
1974-12-22T01:01:08.160Z,36.5566667,-121.0783333,10.456,2.75,md,44,66,0.04685,0.07,nc,nc1022325,2016-12-14T22:57:46.360Z,"Central California",earthquake,0.21,0.41,0.51,7,reviewed,nc,nc
1974-12-21T18:45:08.020Z,36.465,-121.0405,5.353,2.97,md,19,72,0.04414,0.05,nc,nc1022323,2016-12-14T22:57:34.275Z,"Central California",earthquake,0.3,0.59,0.17,5,reviewed,nc,nc
1974-12-21T16:01:20.660Z,36.4748333,-121.0521667,5.865,2.97,md,38,71,0.03964,0.08,nc,nc1022322,2016-12-14T22:57:29.140Z,"Central California",earthquake,0.25,0.48,0.06,3,reviewed,nc,nc
1974-12-21T11:59:28.420Z,36.4466667,-121.013,-0.592,2.75,md,7,76,0.02252,0.11,nc,nc1022320,2016-12-14T22:57:17.176Z,"Central California",earthquake,1.02,1.38,0.03,3,reviewed,nc,nc
1974-12-21T10:11:48.350Z,36.9803333,-121.6346667,4.479,3.46,md,55,40,0.04685,0.08,nc,nc1022319,2016-12-14T22:57:12.050Z,"Northern California",earthquake,0.14,0.3,0.48,16,reviewed,nc,nc
1974-12-21T07:45:33.950Z,36.4771667,-121.0528333,4.951,2.57,md,12,108,0.03784,0.03,nc,nc1022318,2016-12-14T22:57:05.916Z,"Central California",earthquake,0.42,0.61,0.23,6,reviewed,nc,nc
1974-12-20T22:43:49.040Z,36.6378333,-121.2525,5.927,2.59,md,15,51,0.01622,0.04,nc,nc1022316,2016-12-14T22:56:57.895Z,"Central California",earthquake,0.28,0.61,0.3,6,reviewed,nc,nc
1974-12-20T11:31:47.700Z,36.9048333,-121.4758333,5.496,2.97,md,26,62,0.03423,0.13,nc,nc1022313,2016-12-14T22:56:46.514Z,"Central California",earthquake,0.28,0.71,0.25,9,reviewed,nc,nc
1974-12-20T10:55:39.620Z,36.9305,-121.4676667,2.926,3.26,md,33,56,0.03964,0.13,nc,nc1022312,2016-12-14T22:56:42.583Z,"Central California",earthquake,0.21,0.73,0.34,10,reviewed,nc,nc
1974-12-20T03:08:22.370Z,36.575,-121.169,6.425,3.17,md,56,44,0.01351,0.04,nc,nc1022309,2016-12-14T22:56:33.250Z,"Central California",earthquake,0.18,0.25,0.44,10,reviewed,nc,nc
1974-12-19T12:49:41.000Z,36.9226667,-121.464,5.926,2.77,md,72,46,0.04144,0.13,nc,nc1022305,2016-12-14T22:56:13.910Z,"Central California",earthquake,0.16,0.41,0.33,17,reviewed,nc,nc
1974-12-19T12:39:50.480Z,34.0648333,-118.0935,7.14,3.32,ml,24,76,,0.42,ci,ci3317592,2016-01-29T01:18:24.400Z,"3km SW of Rosemead, CA",earthquake,0.69,0.92,0.116,10,reviewed,ci,ci
1974-12-19T12:36:17.050Z,34.0588333,-118.1041667,7.34,3.45,ml,23,78,,0.34,ci,ci3317590,2016-01-29T01:23:33.200Z,"2km ESE of Monterey Park, CA",earthquake,0.65,1,0.126,11,reviewed,ci,ci
1974-12-19T07:13:01.190Z,36.5561667,-121.0246667,8.541,2.63,md,17,77,0.03514,0.13,nc,nc1022300,2016-12-14T22:55:51.061Z,"Central California",earthquake,0.4,0.8,0.35,5,reviewed,nc,nc
1974-12-19T06:07:58.380Z,37.338,-121.705,7.573,2.76,md,48,74,0.04685,0.06,nc,nc1022294,2016-12-14T22:55:22.600Z,"Northern California",earthquake,0.18,0.34,0.21,7,reviewed,nc,nc
1974-12-18T17:48:15.470Z,40.3466667,-124.434,18.744,3.1,md,13,312,0.1216,0.07,nc,nc1022285,2016-12-14T22:54:46.016Z,"offshore Northern California",earthquake,2.49,0.51,,1,reviewed,nc,nc
1974-12-18T14:21:55.820Z,40.95,-123.6583333,21.214,3.18,md,7,251,0.09279,0.04,nc,nc1022284,2016-12-14T22:54:42.249Z,"Northern California",earthquake,1.3,0.8,,1,reviewed,nc,nc
1974-12-18T13:00:36.740Z,36.9158333,-121.4821667,5.286,2.75,md,16,135,0.02613,0.08,nc,nc1022282,2016-12-14T22:54:34.114Z,"Central California",earthquake,0.34,0.6,0.07,3,reviewed,nc,nc
1974-12-18T12:40:26.660Z,36.6225,-121.1555,7.474,2.69,md,12,96,0.04505,0.05,nc,nc1022280,2016-12-14T22:54:29.977Z,"Central California",earthquake,0.35,0.67,0.05,2,reviewed,nc,nc
1974-12-18T11:17:21.720Z,36.9101667,-121.4766667,5.526,3.16,md,34,49,0.03243,0.11,nc,nc1022278,2016-12-14T22:54:20.660Z,"Central California",earthquake,0.21,0.52,0.5,7,reviewed,nc,nc
1974-12-18T10:01:14.350Z,37.8508333,-121.7585,19.255,2.53,md,26,165,0.05315,0.07,nc,nc1022277,2016-12-14T22:54:14.782Z,"San Francisco Bay area, California",earthquake,0.57,0.28,0.22,6,reviewed,nc,nc
1974-12-17T19:13:44.840Z,36.9338333,-121.4646667,5.156,2.63,md,23,62,0.04324,0.1,nc,nc1022275,2016-12-14T22:54:06.680Z,"Central California",earthquake,0.25,0.59,0.51,8,reviewed,nc,nc
1974-12-17T16:52:57.060Z,35.4293333,-117.7715,6,2.58,mh,7,86,,0.4,ci,ci3317589,2016-01-29T01:33:16.600Z,"14km WNW of Johannesburg, CA",earthquake,0.78,31.61,0.108,12,reviewed,ci,ci
1974-12-17T16:32:04.970Z,36.5465,-121.1355,5.383,2.95,md,38,57,0.01441,0.03,nc,nc1022272,2016-12-14T22:53:57.590Z,"Central California",earthquake,0.15,0.24,0.48,7,reviewed,nc,nc
1974-12-17T14:20:30.130Z,36.4088333,-120.9723333,0.03,2.55,md,8,77,0.04054,0.05,nc,nc1022271,2016-12-14T22:53:51.537Z,"Central California",earthquake,0.26,0.41,0.05,4,reviewed,nc,nc
1974-12-17T08:40:18.410Z,36.6725,-121.294,3.156,3.33,md,48,69,0.01712,0.05,nc,nc1022267,2016-12-14T22:53:37.990Z,"Central California",earthquake,0.17,0.28,0.31,7,reviewed,nc,nc
1974-12-17T06:53:12.080Z,36.9176667,-121.473,4.356,3.08,md,28,57,0.03333,0.16,nc,nc1022266,2016-12-14T22:53:31.586Z,"Central California",earthquake,0.28,0.77,0.39,9,reviewed,nc,nc
1974-12-17T04:32:41.900Z,39.6591667,-120.052,13.675,2.86,md,3,301,0.1793,0.04,nc,nc1022263,2016-12-14T22:53:19.638Z,"Northern California",earthquake,0.77,1.31,0.19,4,reviewed,nc,nc
1974-12-17T02:37:24.130Z,39.655,-120.079,0.575,2.92,md,4,259,0.1802,0.19,nc,nc1022261,2016-12-14T22:53:12.312Z,"Northern California",earthquake,3.32,15.52,0.12,4,reviewed,nc,nc
1974-12-16T23:34:31.760Z,36.9108333,-121.4736667,5.336,2.7,md,17,85,0.03423,0.08,nc,nc1022259,2016-12-14T22:53:04.454Z,"Central California",earthquake,0.28,0.71,0.42,6,reviewed,nc,nc
1974-12-16T17:34:42.410Z,37.2885,-121.672,3.457,2.53,md,14,75,0.03063,0.05,nc,nc1022251,2016-12-14T22:52:04.988Z,"Northern California",earthquake,0.25,0.52,0.29,6,reviewed,nc,nc
1974-12-16T17:30:01.730Z,36.88,-115.97,0.01,4.01,ml,11,248,1.689,0.85,ci,ci3319054,2016-01-29T01:13:19.310Z,"70km E of Beatty, NV",nuclear explosion,99,31.61,0.229,12,reviewed,ci,ci
1974-12-16T13:12:10.670Z,36.917,-121.4725,6.416,3.08,md,29,67,0.03423,0.11,nc,nc1022248,2016-12-14T22:51:57.461Z,"Central California",earthquake,0.24,0.56,0.56,9,reviewed,nc,nc
1974-12-16T08:07:31.770Z,36.9098333,-121.4935,4.166,3.02,md,25,51,0.01982,0.14,nc,nc1022243,2016-12-14T22:51:37.180Z,"Central California",earthquake,0.27,0.58,0.37,12,reviewed,nc,nc
1974-12-16T04:51:59.840Z,39.7635,-120.8321667,31.78,2.66,md,5,337,0.5441,0.14,nc,nc1022241,2016-12-14T22:51:33.146Z,"Northern California",earthquake,3.61,2.17,0.15,5,reviewed,nc,nc
1974-12-16T02:16:16.630Z,36.557,-121.1881667,2.665,3.52,md,21,77,0.01081,0.09,nc,nc1022239,2016-12-14T22:51:25.511Z,"Central California",earthquake,0.69,0.59,0.36,11,reviewed,nc,nc
1974-12-15T15:34:07.480Z,36.9066667,-121.4748333,3.206,2.76,md,24,51,0.03423,0.08,nc,nc1022238,2016-12-14T22:51:21.396Z,"Central California",earthquake,0.19,0.62,0.42,7,reviewed,nc,nc
1974-12-15T12:30:27.190Z,36.9008333,-121.4801667,2.476,2.53,md,18,57,0.03333,0.13,nc,nc1022236,2016-12-14T22:51:13.400Z,"Central California",earthquake,0.3,1.2,0.45,8,reviewed,nc,nc
1974-12-15T10:47:13.470Z,36.9685,-121.6073333,3.733,3.19,md,62,37,0.02252,0.07,nc,nc1022235,2016-12-14T22:51:08.130Z,"Northern California",earthquake,0.11,0.23,0.59,19,reviewed,nc,nc
1974-12-15T10:35:12.540Z,36.4903333,-120.8065,5.334,2.76,md,11,110,0.118,0.05,nc,nc1022234,2016-12-14T22:51:01.770Z,"Central California",earthquake,0.39,1.02,0.61,3,reviewed,nc,nc
1974-12-15T09:11:19.840Z,36.9148333,-121.476,4.276,2.66,md,21,55,0.03153,0.09,nc,nc1022233,2016-12-14T22:50:57.570Z,"Central California",earthquake,0.23,0.59,0.37,7,reviewed,nc,nc
1974-12-15T08:46:01.190Z,36.9128333,-121.474,4.946,2.66,md,22,90,0.03333,0.13,nc,nc1022232,2016-12-14T22:50:53.530Z,"Central California",earthquake,0.29,0.68,0.44,8,reviewed,nc,nc
1974-12-15T02:19:03.600Z,36.9163333,-121.4795,3.984,2.73,md,16,82,0.02883,0.09,nc,nc1022227,2016-12-14T22:50:33.702Z,"Central California",earthquake,0.28,0.7,0.25,6,reviewed,nc,nc
1974-12-14T23:35:16.600Z,32.9855,-116.2653333,9.11,2.55,ml,11,105,0.2678,0.55,ci,ci3317582,2016-01-29T01:37:51.570Z,"22km SW of Ocotillo Wells, CA",earthquake,1.18,4.06,0.106,2,reviewed,ci,ci
1974-12-14T19:04:07.390Z,36.914,-121.477,3.506,2.56,md,18,65,0.03063,0.11,nc,nc1022225,2016-12-14T22:50:25.766Z,"Central California",earthquake,0.26,0.71,0.5,8,reviewed,nc,nc
1974-12-14T18:09:30.650Z,36.6015,-121.0568333,8.029,2.74,md,14,65,0.02703,0.12,nc,nc1022224,2016-12-14T22:50:21.779Z,"Central California",earthquake,0.41,0.71,0.01,3,reviewed,nc,nc
1974-12-14T15:09:35.390Z,36.934,-121.6748333,11.259,2.66,md,27,78,0.01081,0.08,nc,nc1022223,2016-12-14T22:50:17.636Z,"Northern California",earthquake,0.28,0.53,0.47,7,reviewed,nc,nc
1974-12-14T13:01:26.820Z,34.018,-116.7263333,6,2.72,ml,12,82,0.5398,0.48,ci,ci3317579,2016-01-29T01:13:18.790Z,"12km NNE of Cabazon, CA",earthquake,0.81,31.61,0.03,3,reviewed,ci,ci
1974-12-14T11:04:22.930Z,36.1868333,-120.7601667,7.581,3.37,md,18,94,0.04144,0.06,nc,nc1022222,2016-12-14T22:50:13.552Z,"Central California",earthquake,0.32,0.42,0.27,6,reviewed,nc,nc
1974-12-14T04:01:23.060Z,32.7485,-117.3466667,7.63,3.56,ml,14,189,0.2515,0.37,ci,ci3317578,2016-01-29T01:28:21.190Z,"13km SSW of La Jolla, CA",earthquake,0.97,1.86,0.291,8,reviewed,ci,ci
1974-12-14T01:08:19.370Z,36.8836667,-121.4116667,3.761,2.99,md,22,60,0.02793,0.04,nc,nc1022217,2016-12-14T22:49:58.040Z,"Central California",earthquake,0.15,0.85,0.18,5,reviewed,nc,nc
1974-12-13T19:22:18.830Z,34.6141667,-117.1331667,0.08,2.6,mh,,,,,ci,ci12322875,2016-01-29T01:23:57.260Z,"14km NNE of Apple Valley, CA",quarry blast,,,,0,reviewed,ci,ci
1974-12-13T16:13:13.170Z,40.3916667,-124.4858333,17.235,2.89,md,12,300,0.1514,0.08,nc,nc1022212,2016-12-14T22:49:39.418Z,"offshore Northern California",earthquake,2.64,0.53,,1,reviewed,nc,nc
1974-12-13T15:20:31.550Z,37.0261667,-121.105,8.193,3.03,md,13,128,0.04054,0.04,nc,nc1022211,2016-12-14T22:49:35.635Z,"Central California",earthquake,0.32,0.64,0.32,4,reviewed,nc,nc
1974-12-13T11:35:09.770Z,36.9168333,-121.4766667,4.396,3.08,md,23,66,0.03063,0.12,nc,nc1022209,2016-12-14T22:49:27.940Z,"Central California",earthquake,0.28,0.61,0.42,9,reviewed,nc,nc
1974-12-13T09:24:49.780Z,36.9286667,-121.4586667,6.946,2.77,md,30,68,0.04595,0.11,nc,nc1022208,2016-12-14T22:49:23.816Z,"Central California",earthquake,0.29,0.63,0.52,11,reviewed,nc,nc
1974-12-13T09:10:35.220Z,36.273,-120.8411667,6.151,3.28,md,13,138,0.06757,0.05,nc,nc1022207,2016-12-14T22:49:19.483Z,"Central California",earthquake,0.27,0.6,0.37,4,reviewed,nc,nc
1974-12-13T05:14:43.830Z,35.9421667,-120.4863333,10.233,2.59,md,12,113,0.01081,0.06,nc,nc1022206,2016-12-14T22:49:15.588Z,"Central California",earthquake,0.52,0.81,0.33,6,reviewed,nc,nc
1974-12-13T03:24:28.770Z,36.687,-121.3136667,3.487,2.71,md,56,65,0.02432,0.06,nc,nc1022203,2016-12-14T22:49:02.680Z,"Central California",earthquake,0.18,0.35,0.55,7,reviewed,nc,nc
1974-12-13T02:42:50.350Z,36.4506667,-120.6475,13.682,3.31,md,15,136,0.1586,0.05,nc,nc1022202,2016-12-14T22:48:56.373Z,"Central California",earthquake,0.58,0.52,0.17,2,reviewed,nc,nc
1974-12-12T23:43:25.740Z,36.9315,-121.4631667,3.116,2.63,md,22,72,0.04324,0.12,nc,nc1022199,2016-12-14T22:48:44.222Z,"Central California",earthquake,0.33,0.82,0.49,7,reviewed,nc,nc
1974-12-12T20:32:41.620Z,36.5703333,-121.0985,8.863,3.29,md,41,69,0.05315,0.05,nc,nc1022197,2016-12-14T22:48:35.470Z,"Central California",earthquake,0.18,0.38,0.08,2,reviewed,nc,nc
1974-12-12T13:48:22.130Z,36.9121667,-121.4693333,5.388,3.5,md,57,47,0.03694,0.09,nc,nc1022195,2016-12-14T22:48:27.900Z,"Central California",earthquake,0.16,0.36,0.41,14,reviewed,nc,nc
1974-12-12T07:44:49.170Z,36.5985,-121.2058333,8.979,2.84,md,57,31,0.00991,0.04,nc,nc1022194,2016-12-14T22:48:19.690Z,"Central California",earthquake,0.19,0.27,0.53,11,reviewed,nc,nc
1974-12-12T05:38:45.590Z,36.9291667,-121.466,3.666,2.65,md,29,61,0.04054,0.1,nc,nc1022192,2016-12-14T22:48:09.580Z,"Central California",earthquake,0.2,0.57,0.64,11,reviewed,nc,nc
1974-12-12T05:30:39.930Z,37.2545,-121.6408333,5.503,2.93,md,52,75,0.02703,0.05,nc,nc1022191,2016-12-14T22:48:04.110Z,"Northern California",earthquake,0.15,0.28,0.29,14,reviewed,nc,nc
1974-12-12T00:00:50.130Z,36.7508333,-121.5928333,-0.291,3.01,md,36,89,0.04955,0.11,nc,nc1022186,2016-12-14T22:47:45.505Z,"Central California",quarry blast,0.21,0.58,0.49,8,reviewed,nc,nc
1974-12-11T23:11:05.020Z,36.5503333,-121.0856667,8.679,2.86,md,13,102,0.04144,0.08,nc,nc1022185,2016-12-14T22:47:40.634Z,"Central California",earthquake,0.36,0.86,0.12,5,reviewed,nc,nc
1974-12-11T19:37:59.470Z,36.4943333,-121.0673333,2.271,3.2,md,40,69,0.01712,0.07,nc,nc1022183,2016-12-14T22:47:31.170Z,"Central California",earthquake,0.17,0.26,0.31,6,reviewed,nc,nc
1974-12-11T14:55:07.250Z,32.7278333,-115.4115,12.65,2.8,mh,9,174,0.1352,0.46,ci,ci3317570,2016-01-29T01:23:31.730Z,"10km SSW of Holtville, CA",earthquake,2.57,1.73,0.127,7,reviewed,ci,ci
1974-12-11T14:53:35.690Z,32.7611667,-115.4211667,15,2.67,mh,10,168,0.1012,0.25,ci,ci3317568,2016-01-29T01:23:30.740Z,"7km SW of Holtville, CA",earthquake,1.58,31.61,0.146,8,reviewed,ci,ci
1974-12-11T05:21:28.670Z,36.814,-121.5383333,6.491,2.58,md,15,69,0.03333,0.09,nc,nc1022177,2016-12-14T22:47:08.112Z,"Central California",earthquake,0.34,0.8,0.42,5,reviewed,nc,nc
1974-12-11T02:03:13.530Z,36.9146667,-121.4711667,5.034,2.85,md,13,84,0.03514,0.12,nc,nc1022176,2016-12-14T22:47:04.457Z,"Central California",earthquake,0.41,1.06,0.14,3,reviewed,nc,nc
1974-12-11T00:05:01.910Z,36.573,-121.168,5.444,3.26,md,30,54,0.01802,0.05,nc,nc1022174,2016-12-14T22:46:56.708Z,"Central California",earthquake,0.19,0.52,0.4,6,reviewed,nc,nc
1974-12-10T23:38:31.190Z,36.9423333,-121.5356667,4.372,2.58,md,15,75,0.02883,0.07,nc,nc1022172,2016-12-14T22:46:48.671Z,"Northern California",earthquake,0.27,0.54,0.49,5,reviewed,nc,nc
1974-12-10T23:16:48.160Z,37.0356667,-122.1423333,-0.401,2.57,md,9,261,0.03063,0.07,nc,nc1022171,2016-12-14T22:46:44.814Z,"Northern California",quarry blast,1.2,1.14,0.43,5,reviewed,nc,nc
1974-12-10T20:43:40.480Z,34.1143333,-117.1015,4.02,2.5,mh,,,,,ci,ci12322851,2016-01-29T01:48:41.390Z,"6km NNE of Mentone, CA",quarry blast,,,,0,reviewed,ci,ci
1974-12-10T14:55:01.580Z,36.9226667,-121.4741667,2.726,2.94,md,17,62,0.03333,0.11,nc,nc1022168,2016-12-14T22:46:32.499Z,"Central California",earthquake,0.27,0.96,0.11,4,reviewed,nc,nc
1974-12-10T14:39:24.040Z,36.4366667,-121.0051667,-0.531,2.65,md,6,159,0.01622,0.11,nc,nc1022167,2016-12-14T22:46:28.574Z,"Central California",earthquake,0.94,0.74,0.01,2,reviewed,nc,nc
1974-12-10T12:27:59.990Z,36.4661667,-121.0433333,1.043,2.66,md,10,111,0.04595,0.07,nc,nc1022166,2016-12-14T22:46:24.947Z,"Central California",earthquake,0.63,0.84,0.24,2,reviewed,nc,nc
1974-12-10T11:15:24.240Z,36.9238333,-121.4668333,3.486,3.09,md,27,60,0.03874,0.14,nc,nc1022165,2016-12-14T22:46:21.077Z,"Central California",earthquake,0.25,0.84,0.19,9,reviewed,nc,nc
