"2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec","2016-Jan","2016-Feb","2016-Mar","2016-Apr","2016-May","2016-Jun","2016-Jul","2016-Aug","2016-Sep","2016-Oct","2016-Nov","2016-Dec"
1303059.83,1148640.83,1249576.83,1223305.83,1170999.83,1146938.83,1233414.83,988213.83,1196490.83,1276745.83,1270625.83,1315708.87,1288332,1222522,1141986,1192650,1308290,1512649,1673431,2138718,2473938,3006888,3173664,2964080,2491789,2267573,3072598,3206693,3399142,3509134,3567201,3391135,3113837,3154122,3047714.3,3183555,3035600,2723464,3041330,2992900,3238764,3180970,3220467,3119079,2851247,2991916,2974987,3112687,2976045,2678380,2878611,2732182,2775420,2658315,2734985,2707561,2628234,2662745,2587280,2371283,2672532,2572471,2625028,2270354,2355380,2099785,2181279,2152154,1954473,1868584,2055697,2055404
2000765.91,1681385.91,2112797.91,1841512.91,1900848.91,1976852.91,1913477.91,1666438.91,1794814.91,1965924.91,1855113.91,1901059.49,1842130,1871856,2080263,2013393,1963689,1953556,1899046,1927587,2052598,2165928,1966644,2195524,2277405,2120446,2625859,2402921,2509570,2277508,2510068,2773016,2527199,2651935,2508596,2443895,2521692,2351093,2482257,2391443,2379321,2212345,2445863,2496626,2423743,2607146,2414104,2459711,2498424,2345832,2370509,2269422,2486748,2432205,2246816,2177909,2184580,2164428,1971719,1850833,1892837,1810303,1979572,1849263,1873557,1709527,1852377,1813422,1774953,1805872,1856888,1896731
900,1680,1860,2417,3785,1053,1065,8880,2366,12741,169304,297016,136221,123215,142638,338192,364532,349745,337607,333341,322132,244115,318725,319599,31114,52206,50042,45229,70877,160303,202379,206389,394811,233853,265934,268641,229454,168057,225780,189661,192183,171686,240545,326347,274038,205193,166428,195218,171815,199809,218484,216651,233062,166376,107663,118867,193068,226334,222709,186381,88424,101741,100327,86256,96010,91209,88835,97227,21471,9946,10318,10840
41227,30084,43091,37257,21970,10555,21586,31407,27475,29601,23969,25473,29741,26346,26477,28508,23990,15416,13895,13546,12742,12007,11632,11622,11527,9865,30514,154467,101995,132664,169237,155390,122059,207860,272236,315290,322463,280674,295801,255541,181688,153674,242312,469198,457548,442349,427243,411806,437725,383370,430148,408495,361003,378171,429127,423617,378290,417338,408447,320603,360212,291084,315314,286991,244127,269057,215614,349891,234361,165332,142898,78212
110312,97716,115271,109072,108624,96810,101169,104840,93958,96895,94257,83744,95859,85608,60434,79450,91119,116653,92607,77674,72335,78683,67118,81830,58290,38805,69461,62457,62505,62955,61118,50847,0,0,0,0,7899,39021,35095,54235,1633,58707,57227,39450,59526,66410,1259,3128,6386,41800,55154,53269,53384,55616,50368,58439,49485,54903,43686,38530,40370,44077,39870,31511,37274,35716,35586,48949,85365,93254,104583,78705
67603,48734,67122,42565,51287,52847,30730,70617,51139,77989,104409,82786,90335,112220,214702,81802,62532,59298,93297,74324,54823,88765,80470,82569,79555,58805,79767,87588,78340,61016,70108,73134,101410,95781,91948,103469,115791,88736,90955,95018,95561,88168,87993,64841,88212,88135,88707,91985,71022,65426,66080,66644,70028,73974,70176,64980,57204,54825,53193,53364,64863,64104,70642,48697,60971,53632,63809,66329,93595,64388,62866,59692
106525,70080,116528,95044,96568,95767,92126,82149,95566,99569,108123,78926,102970,85660,96295,88607,84570,89837,101152,88197,64119,111094,66971,76628,63031,49552,60953,81559,81971,75920,83785,75948,74636,80464,90557,74518,83221,66989,80264,92279,58318,50374,78998,85367,89350,83295,106484,145675,116431,114144,128705,117492,111413,134062,137086,134656,104466,135108,112802,110815,115810,116712,140508,135035,128361,105054,111559,115302,105457,122718,124467,134398
143623,116209,119052,33347,145662,112291,147377,164979,163033,199806,183207,189202,193081,184368,163123,98684,167564,157173,198004,182302,151974,196464,146388,155840,127606,124063,121783,139629,117302,153723,138995,146497,146014,162893,145365,154014,159463,151119,155788,145831,132832,114779,64146,163630,270344,154726,168163,165267,162399,147242,169662,186116,164726,154869,153165,141203,102762,147530,126027,101631,89446,128876,151907,135300,124052,115438,131221,89769,73610,28356,36339,50904
6456,7167,10407,7663,10242,9726,10416,13002,13108,13309,12566,13290,10098,12790,10615,13200,13668,12791,12090,13462,14211,13074,9088,9205,7608,6890,8400,6919,9066,7353,7850,9976,9369,8717,6655,6175,6921,6028,7272,8192,5838,12784,27768,67254,48192,37440,38380,39326,36501,30271,33344,33530,31430,29774,31394,17262,5125,19555,18561,33135,39267,32219,30085,24701,5053,5105,4319,8179,9034,10135,8039,8066
0,0,0,18512,20045,19500,119704,38692,32892,3591,17003,14967,6320,5194,8587,7480,3298,1886,0,869,4537,6221,5515,14468,18778,6083,7207,7693,12228,2142,3536,5391,4083,4556,2557,4067,5706,24910,13200,4574,38252,19452,82351,62828,23317,82871,97528,46758,13191,24445,16117,6298,3221,3028,2922,2605,2505,3054,2882,2563,2905,2541,2217,1740,1798,1809,1862,3510,2684,2567,1148,1975
11714,8485,11251,10137,10434,12124,12027,12327,12913,12829,10432,7749,11158,9910,11692,13979,15661,12247,14470,17358,14382,13191,9080,11094,9650,8531,10185,10806,16520,11644,11924,14604,14395,14366,11577,9926,12464,16647,80931,122643,89066,126979,245179,232781,247354,263715,219028,285007,256631,218447,195936,155388,148442,159053,183199,165891,167353,156470,124992,109411,125117,134192,129657,107217,118438,122395,106855,105904,96828,97762,92548,65439
1203054.9,999971.43,1127510.9,1111493.23,1138181.87,1094858.97,1150743.9,1046267,1079768.8,1098450.1,1027563.8,1052869.9,170042,1000322,980069,1064461,1099086,1058995,1117606,1091450,1089094,1085721,1127643,1141751,1115995,999597,1141977,1266850,1341922,1182596,1153928,1044675,1077043,1193648,1085214,1184572,1222351,1002335,1183818,1215149,1111448,1137998,1213348,1281991,1199150,1253780,1174124,1215839,1250413,1125155,1127580,907463,940465,880799,907270,783297,510800,464807,474426,402636,660819,583716,582078,456045,486218,447411,455143,368936,419893,548227,573448.3,582255
1237063.16,987146.16,1182858.16,1199564.16,1218140.16,1166214.16,1208448.16,1170103.16,1202551.16,1243321.16,1157109.16,1177872.24,1106038,1039327,1242301,1291377,1139929,1088469,1132222,1121655,1094930,1088355,988552,1021042,1317106,1157586,1410100,1367015,1337946,1381884,1374035,1352192,1298743,1320548,1274577,1284459,1267380.26,1173548.4,1328937.31,1236168.19,1307033.33,1270394.31,1282905.36,1283030.9,1252751.1,1331895.29,1302329.81,1352931.48,1284129.9,1169891.26,1198294.36,1177745.62,1174743.6,1166413.76,1166627.79,1078369.93,1053870.62,1065595.76,959049.36,967740.14,880382.4,794964.43,803856.62,687188.52,783808.24,631070.65,627181.43,636196.47,534525.63,577751.19,547768.81,548616.62
